akademie_artikelnummer,akademie_kurz_bez,akademie_artikelname,akademie_hauptlieferant,akademie_hauptlieferantnummer
09710129,Dienstleistung,Anbruchplaketten - Wencke Akademie,Erich Nonne GmbH,700336
09710129,Dienstleistung,Anbruchplaketten - Wencke Akademie,Erich Nonne GmbH,700336
09710996,Fortbildung,Hygienebeauftragte*r,Erich Nonne GmbH,700336
09710997,Fortbildung,Hygienebeauftragte*r,Erich Nonne GmbH,700336
09710998,Fortbildung,Hygienebeauftragte*r,Erich Nonne GmbH,700336
09711001,Hygieneschulung,Grundlagen der Hygiene,Erich Nonne GmbH,700336
09711004,Hygieneschulung,Grundlagen der Hygiene,Erich Nonne GmbH,700336
09711005,Hygieneschulung,Grundlagen der Hygiene,Erich Nonne GmbH,700336
09711006,Hygieneschulung,Grundlagen der Hygiene,Erich Nonne GmbH,700336
09711007,Dienstleistung,Gefahrstoffverzeichnis,Erich Nonne GmbH,700336
09711008,Fortbildung,Reinigung von A bis Z,Erich Nonne GmbH,700336
09711009,Fortbildung,Aktualisierungskurs,Erich Nonne GmbH,700336
09711010,Fortbildung,Hygienebeauftragte*r,Erich Nonne GmbH,700336
09711012,Hygieneschulung,Online-Hygieneschulungs,Erich Nonne GmbH,700336
09711013,Hygieneschulung,Grundlagen der Hygiene,Erich Nonne GmbH,700336
09711015,Online-Schulung,Online-Schulung,Erich Nonne GmbH,700336
09711016,Hygieneschulung,Grundlehrgang für,Erich Nonne GmbH,700336
09711019,Dienstleistung,Hygienehandbuch,Erich Nonne GmbH,700336
09711020,Dienstleistung,Externe Hygienebeauftragte,Erich Nonne GmbH,700336
09711023,Dienstleistung,Service-Ordner,Erich Nonne GmbH,700336
09711028,Dienstleistung,Untersuchungspaket Wäschewaschmaschinen,biocheck,700927
09711030,Dienstleistung,Prüfung Wäschewaschmaschinen,Erich Nonne GmbH,700336
09711031,Grundlehrgang,Grundlehrgang (Individuell),Erich Nonne GmbH,700336
09711032,Dienstleistung,Untersuchungspaket Geschirrspülmaschine,biocheck,700927
